Date,GLD,GDX,USO
2023-05-22,183.2100067138672,30.991300582885742,63.90999984741211
2023-05-23,183.42999267578125,30.77736473083496,64.87000274658203
2023-05-24,181.9499969482422,30.06749153137207,65.66000366210938
2023-05-25,180.1999969482422,29.425691604614258,64.08999633789062
2023-05-26,180.9199981689453,29.57155418395996,64.80000305175781
2023-05-30,182.0399932861328,29.367345809936523,62.29999923706055
2023-05-31,182.32000732421875,30.057767868041992,60.630001068115234
2023-06-01,183.75999450683594,31.127437591552734,62.54999923706055
2023-06-02,181.0500030517578,30.543981552124023,64.1500015258789
2023-06-05,182.13999938964844,30.689847946166992,64.02999877929688
2023-06-06,182.33999633789062,30.757917404174805,63.790000915527344
2023-06-07,180.14999389648438,30.19390869140625,64.70999908447266
2023-06-08,182.52999877929688,30.670400619506836,63.459999084472656
2023-06-09,182.0399932861328,30.223081588745117,62.93000030517578
2023-06-12,181.8800048828125,30.37866973876953,60.2400016784668
2023-06-13,180.5399932861328,30.038320541381836,62.13999938964844
2023-06-14,180.63999938964844,30.01887321472168,61.83000183105469
2023-06-15,181.91000366210938,30.145288467407227,63.40999984741211
2023-06-16,181.6300048828125,30.524534225463867,64.3499984741211
2023-06-20,179.75,29.308998107910156,63.91999816894531
2023-06-21,179.49000549316406,29.231203079223633,65.04000091552734
2023-06-22,177.7100067138672,29.026994705200195,62.52000045776367
2023-06-23,178.1999969482422,28.96864891052246,62.41999816894531
2023-06-26,178.50999450683594,29.240928649902344,62.72999954223633
2023-06-27,177.69000244140625,28.832508087158203,61.29999923706055
2023-06-28,177.27999877929688,28.414363861083984,62.52000045776367
2023-06-29,177.08999633789062,28.80333709716797,62.959999084472656
2023-06-30,178.27000427246094,29.27982521057129,63.54999923706055
2023-07-03,178.47000122070312,29.843835830688477,63.38999938964844
2023-07-05,177.83999633789062,29.007545471191406,64.62999725341797
2023-07-06,177.30999755859375,28.26849937438965,64.44000244140625
2023-07-07,178.63999938964844,28.638023376464844,65.8499984741211
2023-07-10,178.77999877929688,29.211755752563477,65.54000091552734
2023-07-11,179.4499969482422,29.406240463256836,67.02999877929688
2023-07-12,181.8800048828125,30.942678451538086,67.87000274658203
2023-07-13,182.00999450683594,31.302474975585938,69.08999633789062
2023-07-14,181.42999267578125,31.07881736755371,67.47000122070312
2023-07-17,181.55999755859375,31.088542938232422,66.58000183105469
2023-07-18,183.63999938964844,31.7303466796875,67.95999908447266
2023-07-19,183.6699981689453,31.467790603637695,67.69000244140625
2023-07-20,182.74000549316406,30.524534225463867,68.05000305175781
2023-07-21,182.17999267578125,30.62177848815918,68.98999786376953
2023-07-24,181.39999389648438,30.427291870117188,70.69000244140625
2023-07-25,182.41000366210938,30.90378189086914,71.16000366210938
2023-07-26,183.3000030517578,30.77736473083496,70.66000366210938
2023-07-27,180.4199981689453,29.513208389282227,71.43000030517578
2023-07-28,181.86000061035156,29.87300682067871,72.08999633789062
2023-07-31,182.35000610351562,30.543981552124023,73.16999816894531
2023-08-01,180.4600067138672,29.396516799926758,72.95999908447266
2023-08-02,179.60000610351562,28.47271156311035,71.4800033569336
2023-08-03,179.5399932861328,28.47271156311035,73.13999938964844
2023-08-04,180.19000244140625,28.7449893951416,73.79000091552734
2023-08-07,179.77999877929688,28.521331787109375,73.81999969482422
2023-08-08,178.63999938964844,28.278223037719727,74.05999755859375
2023-08-09,177.7899932861328,28.326845169067383,75.0999984741211
2023-08-10,177.60000610351562,28.36574363708496,74.19999694824219
2023-08-11,177.60000610351562,28.647747039794922,74.25
2023-08-14,177.05999755859375,28.151809692382812,73.80999755859375
2023-08-15,176.58999633789062,27.43221092224121,72.62000274658203
2023-08-16,175.57000732421875,27.06268882751465,71.37000274658203
2023-08-17,175.3000030517578,26.8487548828125,71.9800033569336
2023-08-18,175.3300018310547,26.693166732788086,72.79000091552734
2023-08-21,175.80999755859375,26.945995330810547,72.58000183105469
2023-08-22,176.10000610351562,27.179380416870117,72.27999877929688
2023-08-23,177.88999938964844,27.947599411010742,71.36000061035156
2023-08-24,177.85000610351562,27.889253616333008,71.41000366210938
2023-08-25,177.6199951171875,27.616971969604492,72.44999694824219
2023-08-28,178.1300048828125,28.200429916381836,72.41000366210938
2023-08-29,179.8699951171875,28.715818405151367,73.31999969482422
2023-08-30,180.32000732421875,28.70609474182129,73.66000366210938
2023-08-31,180.02000427246094,28.45326042175293,75.05999755859375
2023-09-01,180.11000061035156,28.287948608398438,76.91999816894531
2023-09-05,178.63999938964844,27.704490661621094,77.76000213623047
2023-09-06,177.8300018310547,27.685043334960938,78.5199966430664
2023-09-07,178.02000427246094,27.500280380249023,77.94999694824219
2023-09-08,178.0800018310547,27.558626174926758,78.30000305175781
2023-09-11,178.41000366210938,27.976770401000977,78.37000274658203
2023-09-12,177.49000549316406,27.9962215423584,79.69999694824219
2023-09-13,177.0800018310547,27.928150177001953,79.68000030517578
2023-09-14,177.1699981689453,28.307397842407227,81.12000274658203
2023-09-15,178.33999633789062,28.900577545166016,81.29000091552734
2023-09-18,179.38999938964844,28.929750442504883,81.44999694824219
2023-09-19,179.22000122070312,28.589401245117188,81.5
2023-09-20,179.35000610351562,28.890853881835938,80.13999938964844
2023-09-21,178.0500030517578,28.112911224365234,80.41000366210938
2023-09-22,178.6199951171875,28.07401466369629,80.62999725341797
2023-09-25,177.6999969482422,27.723939895629883,80.38999938964844
2023-09-26,176.27999877929688,26.975170135498047,80.87999725341797
2023-09-27,174.10000610351562,26.168054580688477,82.9000015258789
2023-09-28,173.22999572753906,26.3041934967041,81.56999969482422
